gameId;tempoPartidaMin;gameMode;gameVersion;teamId;win;firstBlood;firstTower;firstInhibitor;firstBaron;firstDragon;firstRiftHerald;towerKills;inhibitorKillsTeam;baronKills;dragonKills;vilemawKills;riftHeraldKills
1110247279.0;32.0;CLASSIC;7.11.189.942;200.0;Win;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;11.0;3.0;1.0;3.0;0.0;0.0
1110214947.0;34.0;CLASSIC;7.11.189.942;100.0;Win;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;10.0;3.0;2.0;3.0;0.0;0.0
1110214947.0;34.0;CLASSIC;7.11.189.942;200.0;Fail;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;4.0;1.0;0.0;0.0;0.0;1.0
1109815610.0;29.0;CLASSIC;7.11.189.942;100.0;Win;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;10.0;2.0;1.0;2.0;0.0;0.0
1109815610.0;29.0;CLASSIC;7.11.189.942;200.0;Fail;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;5.0;0.0;0.0;1.0;0.0;1.0
1109824032.0;3.0;CLASSIC;7.11.189.942;100.0;Win;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0.0;0.0;0.0;0.0;0.0;0.0
1109824032.0;3.0;CLASSIC;7.11.189.942;200.0;Fail;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0.0;0.0;0.0;0.0;0.0;0.0
1107706522.0;30.0;CLASSIC;7.11.189.942;100.0;Fail;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;3.0;0.0;0.0;0.0;0.0;1.0
1107706522.0;30.0;CLASSIC;7.11.189.942;200.0;Win;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;10.0;2.0;1.0;2.0;0.0;0.0
1107681660.0;27.0;CLASSIC;7.11.189.942;100.0;Fail;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;2.0;0.0;0.0;1.0;0.0;0.0
1107681660.0;27.0;CLASSIC;7.11.189.942;200.0;Win;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;9.0;2.0;0.0;2.0;0.0;1.0
1107637785.0;17.0;CLASSIC;7.11.189.942;100.0;Fail;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0.0;0.0;0.0;0.0;0.0;0.0
1107637785.0;17.0;CLASSIC;7.11.189.942;200.0;Win;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;8.0;1.0;0.0;0.0;0.0;1.0
1107611733.0;37.0;CLASSIC;7.11.189.942;100.0;Fail;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;5.0;0.0;0.0;0.0;0.0;1.0
1107611733.0;37.0;CLASSIC;7.11.189.942;200.0;Win;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;7.0;1.0;2.0;4.0;0.0;0.0
1107445484.0;33.0;CLASSIC;7.11.189.942;100.0;Win;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;8.0;1.0;1.0;3.0;0.0;1.0
1107445484.0;33.0;CLASSIC;7.11.189.942;200.0;Fail;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;4.0;0.0;0.0;1.0;0.0;0.0
1107430825.0;36.0;CLASSIC;7.11.189.942;100.0;Fail;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;3.0;0.0;1.0;1.0;0.0;0.0
1107430825.0;36.0;CLASSIC;7.11.189.942;200.0;Win;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;9.0;2.0;1.0;3.0;0.0;1.0
1107386365.0;26.0;CLASSIC;7.11.189.942;100.0;Win;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;11.0;2.0;1.0;3.0;0.0;1.0
1107386365.0;26.0;CLASSIC;7.11.189.942;200.0;Fail;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;4.0;1.0;0.0;0.0;0.0;0.0
1107372462.0;22.0;CLASSIC;7.11.189.942;100.0;Fail;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;2.0;0.0;0.0;0.0;0.0;0.0
1107372462.0;22.0;CLASSIC;7.11.189.942;200.0;Win;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;8.0;1.0;0.0;2.0;0.0;1.0
1107317593.0;34.0;CLASSIC;7.11.189.942;100.0;Fail;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1.0;0.0;0.0;0.0;0.0;0.0
1107317593.0;34.0;CLASSIC;7.11.189.942;200.0;Win;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;10.0;3.0;1.0;3.0;0.0;1.0
1107351466.0;33.0;CLASSIC;7.11.189.942;100.0;Fail;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;3.0;0.0;0.0;1.0;0.0;0.0
1107351466.0;33.0;CLASSIC;7.11.189.942;200.0;Win;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;11.0;4.0;1.0;2.0;0.0;1.0
1107080354.0;25.0;CLASSIC;7.11.189.942;100.0;Fail;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;3.0;0.0;0.0;0.0;0.0;0.0
1107080354.0;25.0;CLASSIC;7.11.189.942;200.0;Win;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;7.0;1.0;1.0;1.0;0.0;1.0
1107032548.0;28.0;CLASSIC;7.11.189.942;100.0;Win;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;10.0;2.0;1.0;0.0;0.0;1.0
1107032548.0;28.0;CLASSIC;7.11.189.942;200.0;Fail;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;1.0;0.0;0.0;2.0;0.0;0.0
1106826410.0;41.0;CLASSIC;7.11.189.942;100.0;Win;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;9.0;1.0;0.0;0.0;0.0;1.0
1106826410.0;41.0;CLASSIC;7.11.189.942;200.0;Fail;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;6.0;0.0;2.0;4.0;0.0;0.0
1106774958.0;3.0;CLASSIC;7.11.189.942;100.0;Win;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0.0;0.0;0.0;0.0;0.0;0.0
1106774958.0;3.0;CLASSIC;7.11.189.942;200.0;Fail;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;0.0;0.0;0.0;0.0;0.0;0.0
